pdf	pdf.name	REF	Pages	Abstract
519	Yoccoz2001.pdf	"Yoccoz, N.G.; Nichols, J.D.; Boulinier, T. 2001. Monitoring of biological diversity in space and time. Trends in Ecology & Evolution 16:446-453"	8	"Monitoring programmes are being used increasingly to assess spatial and temporal trends of biological diversity, with an emphasis on evaluating the efficiency of management policies. Recent reviews of the existing programmes, with a focus on their design in particular, have highlighted the main weaknesses: the lack of well-articulated objectives and the neglect of different sources of error in the estimation of biological diversity. We review recent developments in methods and designs that aim to integrate sources of error to provide unbiased estimates of change in biological diversity and to suggest the potential causes."
520	Yoda1963.tif	"Yoda, K. et al. 1963. Self thinning in overcrowded pure stands under cultivated and natural conditions. Journal of Biology Osaka City Univ 14:107-129"	23	"The process of self-thinning, or the self-adjustment of excess density due to competitive interaction within overcrowded pure stands of higher plants, was analyzed under both cultivated and natural conditions. Trends of time-survival curves in several crop plants were experimentally examined. The results showed that the density of surviving plants at any stage of growth was hyperbolically correlated with the corresponding initial density. There is a maximum asymptotic density at each stage of growth, and the densities beyond this level can not be realized, however high the initial density was, because of the regulation by self-thinning. The asymptotic density is lowered with the progress of growth, sometimes in exponential manner. As the result, the densities in heavily overcrowded plots tend to converge with the lapse of time on the same level, irrespectively of the difference in initial density. This converging density is always higher on less fertilized soil than on fertile soil. The asymptotic density is closely correlated with the size of plants. The asymptotic density is closely correlated with the size of plants. Under the overcrowded condition, plants having a certain average size always maintained a more or less similar level of surviving plant density, regardless of the differences in stand age, initial density and soil fertility level. Field investigations were made with a number of fully crowded pure stands of road-side weeds, under various habitat conditions and in different stages of growth. It was found that the relation between average plant weight (w) and plant density (p ) throughout all such stands of a species could always be formulated by the equation, w=C -3/2, which gives a straight line of the fixed gradient (-3/2) on the log w -log p diagram. This relation, named the 3/2th power law of self-thinning, was commonly recognized in various species including several trees, and was explained based on a simple geometrical model. A field experiment with dense pure stands of Erigeron canadensis revealed that all of the stands, growing from widely different initial densities and on soils of different fertility levels, actually grew along a single curve given by the 3/2th power law"
521	Yoshida2003.pdf	"Yoshida, T. et al. 2003. Rapid evolution drives ecological dynamics in a predator-prey system. Nature 424:303-306"	4	"Ecological and evolutionary dynamics can occur on similar timescales. However, theoretical predictions of how rapid evolution can affect ecological dynamics are inconclusive and often depend on untested model assumptions. Here we report that rapid prey evolution in response to oscillating predator density affects predator-prey (rotifer-algal) cycles in laboratory microcosms. Our experiments tested explicit predictions from a model for our system that allows prey evolution. We verified the predicted existence of an evolutionary tradeoff between algal competitive ability and defence against consumption, and examined its effects on cycle dynamics by manipulating the evolutionary potential of the prey population. Single-clone algal cultures (lacking genetic variability) produced short cycle periods and typical quarter-period phase lags between prey and predator densities, whereas multi-clonal (genetically variable) algal cultures produced long cycles with prey and predator densities nearly out of phase, exactly as predicted. These results confirm that prey evolution can substantially alter predator-prey dynamics, and therefore that attempts to understand population oscillations in nature cannot neglect potential effects from ongoing rapid evolution."
522	Zahavi1975.pdf	"Zahavi, A. 1975. Mate selection-A selection for a handicap. Journal of Theoretical Biology 53:205-214"	10	"It is suggested that characters which develop through mate preference confer handicaps on the selected individuals in their survival. These handicaps are of use to the selecting sex since they test the quality of the mate. The size of characters selected in this way serve as marks of quality. The understanding that a handicap, which tests for quality, can evolve as a consequence of its advantage to the individual, may provide an explanation for many puzzling evolutionary problems. Such an interpretation may provide an alternative to other hypotheses which assumed complicated selective mechanisms, such as group selection or kin selection, which do not act directly on the individual."
523	Zera2001.pdf	"Zera, A.J.; Harshman, L.G. 2001. The physiology of life history trade-offs in animals. Annual Review of Ecology and Systematics 32:95-126"	32	"The functional causes of life history trade-offs have been a topic of interest to evolutionary biologists for over six decades. Our review of life history trade-offs discuss- es conceptual issues associated with physiological aspects of trade-offs, and it describes recent advances on this topic. We focus on studies of four model systems: wing polymor- phic insects, Drosophila, lizards, and birds. The most signifi cant recent advances have been: (a) incorporation of genetics in physiological studies of trade-offs, (b) integration of investigations of nutrient input with nutrient allocation, (c) development of more sophis- ticated models of resource acquisition and allocation, (d) a shift to more integrated, mul- tidisciplinary studies of intraspecifi c trade-offs, and (e) the fi rst detailed investigations of the endocrine regulation of life history trade-offs."
524	Zinke1962.pdf	"Zinke, P.J. 1962. The Pattern of Influence of Individual Forest Trees on Soil Properties. Ecology 43:130-133"	4	No Abstract
525	Estes1995.pdf	"Estes, J.A.; Duggins, D.O. 1995. Sea Otters and Kelp Forests in Alaska: Generality and Variation in a Community Ecological Paradigm. Ecological Monographs 65:75–100"	26	"Multiscale patterns of spatial and temporal variation in density and population structure were used to evaluate the generality of a three—trophic—level cascade among sea otters (Enhydra lutris), invertebrate herbivores, and macroalgae in Alaska. The paradigm holds that where sea otters occur herbivores are rare and plants are abundant, whereas when sea otters are absent herbivores are relatively common and plants are rare. Spatial patterns were based on 20 randomly placed quadrats at 153 randomly selected sites distributed among five locations with and four locations without sea otters. Both sea urchin and kelp abundance differed significantly among locations with vs. without sea otters in the Aleutian Islands and southeast Alaska. There was little (Aleutian Islands) or no (southeast Alaska) overlap between sites with and without sea otters, in plots of kelp density against urchin biomass. Despite intersite variation in the abundance of kelps and herbivores, these analyses demonstrate that sea otter predation has a predictable and broadly generalizable influence on the structure of Alaskan kelp forests. The percent cover of algal turf and suspension feeder assemblages also differed significantly (although less dramatically) between locations with and without sea otters. Temporal variation in community structure was assessed over periods of from 3 to 15 yr at sites in the Aleutian Islands and southeast Alaska where sea otters were 1) continuously present, 2) continuously absent, or 3) becoming reestablished because of natural range expansion. Kelp and sea urchin abundance remained largely unchanged at most sites where sea otters were continuously present or absent, the one exception being at Torch Bay (southeast Alaska), where kelp abundance varied significantly through time and urchin abundance varied significantly among sites because of episodic and patchy disturbances. In contrast, kelp and sea urchin abundances changed significantly, and in the expected directions, at sites that were being recolonized by sea otters. Sea urchin biomass declined by 50% in the Aleutian Islands and by nearly 100% in southeast Alaska following the spread of sea otters into previously unoccupied habitats. In response to these different rates and magnitudes of urchin reduction by sea otter predation, increases in kelp abundance were abrupt and highly significant in southeast Alaska but much smaller and slower over similar time periods in the Aleutian Islands. The different kelp colonization rates between southeast Alaska and the Aleutian Islands appear to be caused by large—scale differences in echinoid recruitment coupled with size—selective predation by sea otters for larger urchins. The length of urchin jaws (correlated with test diameter, r2 = 0.968) in sea otter scats indicates that sea urchins <15—20 mm test diameter are rarely eaten by foraging sea otters. Sea urchin populations in the Aleutian Islands included high densities of small individuals (<20 mm test diameter) at all sites and during all years sampled, whereas in southeast Alaska similarly sized urchins were absent from most populations during most years. Small (<30—35 mm test diameter) tetracycline—marked urchins in the Aleutian Islands grew at a maximum rate of °10 mm/yr; thus the population must have significant recruitment annually, or at least every several years. In contrast, echinoid recruitment in southeast Alaska was more episodic, with many years to perhaps decades separating significant events. Our findings help explain regional differences in recovery rates of kelp forests following recolonization by sea otters."
526	Dayton1972.pdf	"Dayton, P.K. & Hessler, R.R. 1972. Role of biological disturbance in maintaining diversity in the deep sea. Deep Sea Research 19:199-208"	10	"This paper presents the hypothesis that the maintenance of high species diversity in the deep sea is more a result of continued biological disturbance than of highly specialized competitive niche diversification. Detrital food is the primary resource for most of the deep-sea species, but we suggest that in deposit feeding, most animals would consume available living particles as well as dead. We call this dominant life-style [`]cropping'. Predictable cropping pressure on smaller animals reduces the probability of their competitive exclusion and allows a high overlap in the utilization of food resources. Since cropping pressure is in part proportional to the abundance of the prey, proliferations of individual species are unlikely. Through time many species have accumulated in the deep sea because of speciation and immigration. Extinction rate is low because the biological and physical predictability of the environment has suppressed the possibility of population oscillations. Predictability in food supply for smaller deposit feeders is enhanced by the larger, mobile scavengers which consume and disperse large particles of food which fall to the ocean floor."
527	Legendre2004.pdf	"Legendre, P. et al. 2004. Effects of spatial structures on the results of field experiments. Ecology 85:3202-3214"	13	"Field experiments have been designed to account for spatial structures since the inception of randomized complete block designs by R. A. Fisher. In recent years, our understanding of spatial structures led to refinements in the design and analysis of field experiments in the face of spatial patterning. In the presence of spatial autocorrelation in the response variable, is it possible to optimize the experimental design to maximize the response to the experimental factors? The questions addressed in this paper are: (1) What is the effect of spatial autocorrelation on type I error of the tests of significance commonly used to analyze the results of field experiments? (2) How effectively can we control for the effect of spatial autocorrelation by the design of the experiment? (3) Which experimental designs lead to tests of significance that have greater power? (4) What is the influence of spatial autocorrelation on power of ANOVA tests of significance? This paper attempts to answer these questions through numerical simulations with known spatial autocorrelation. Response variable were simulated to represent the sum of separate effects: (1) an explanatory environmental variable (which could be used as a covariable in the analysis) with a de- terministic structure plus spatial autocorrelation, (2) an effect of the experimental treat- ments, (3) spatial autocorrelation in the response (e.g., biological) variable, and (4) a random error. The program repeatedly generated and analyzed surfaces with given parameters (1000 replicates). The rejection rate of the null hypothesis of no effect of the treatment onto the response variable provided estimates of type I error and power. The simulations showed the following: (1) In the presence of spatial autocorrelation, or if repetitive deterministic structures are present in the variables influencing the response, experimental units should not be positioned at random. (2) ANOVA that takes blocking into account is an efficient way of correcting for deterministic structures or spatial auto- correlation. (3) For constant effort, experimental designs that have more, smaller blocks, broadly spread across the experimental area, lead to tests that have more power in the presence of spatial autocorrelation. (4) Short-ranged spatial autocorrelation affects the pow- er of ANOVA tests more than large-ranged spatial autocorrelation."
528	Paine1969.pdf	"Paine, R.T. 1969. A note on trophic complexity and community stability. The American Naturalist 103:91-93"	3	No Abstract
529	Polis1996a.pdf	"Polis, G.A.; Hurd, S.D. 1996a. Linking marine and terrestrial food webs: Allochthonous input from the ocean supports high secondary productivity on small islands and coastal land communities. The American Naturalist 147:396-423"	28	"This study quantifies the how of energy and biomass from a productive marine system to a relatively unproductive terrestrial system. Biomass from marine food webs (here, the Gulf of California) enters the terrestrial webs of islands and coastal areas through two conduits: (1) shore drift of algal wrack and carrion and (2) colonies of seabirds. Both conduits support dense assemblages of consumers: arthropods are 85-560 times more abundant in the supralittoral than inland and 2.2 times more abundant on islands with seabird colonies than those without. Marine input (MI), not terrestrial primary productivity (TP) by land plants, provides most energy and biomass for terrestrial communities on 16 of 19 study islands. The ratio of perimeter to area (PIA) significantly predicts arthropod abundance on islands and is the major determinant of the relative importance of allochthonous how; we expect PIA ratio to be important wherever transport of nutrients, detritus, and organisms among habitats occurs. Similar transport phenomena generally take place, often with significant impact, on coastal habitats and islands worldwide. Such input subsidizes a diverse array of terrestrial consumers; in many cases, subsidized consumers reach extraordinarily high densities and thus can depress their in situ resources. In general, we propose that such flow is often a key feature of the energetics, structure, and dynamics of populations, food webs, and communities whenever any two habitats, differing in productivity, are juxtaposed."
530	Bagchi2014.pdf	"Bagchi, R. et al. 2014. Pathogens and insect herbivores drive rainforest plant diversity and composition. Nature 506:85–88"	4	"Tropical forests are important reservoirs of biodiversity, but the processes that maintain this diversity remain poorly understood. The Janzen-Connell hypothesis suggests that specialized natural enemies such as insect herbivores and fungal pathogens maintain high diversity by elevating mortality when plant species occur at high density (negative density dependence; NDD). NDD has been detected widely in tropical forests, but the prediction that NDD caused by insects and pathogens has a community-wide role in maintaining tropical plant diversity remains untested. We show experimentally that changes in plant diversity and species composition are caused by fungal pathogens and insect herbivores. Effective plant species richness increased across the seed-to-seedling transition, corresponding to large changes in species composition. Treating seeds and young seedlings with fungicides significantly reduced the diversity of the seedling assemblage, consistent with the Janzen-Connell hypothesis. Although suppressing insect herbivores using insecticides did not alter species diversity, it greatly increased seedling recruitment and caused a marked shift in seedling species composition. Overall, seedling recruitment was significantly reduced at high conspecific seed densities and this NDD was greatest for the species that were most abundant as seeds. Suppressing fungi reduced the negative effects of density on recruitment, confirming that the diversity-enhancing effect of fungi is mediated by NDD. Our study provides an overall test of the Janzen-Connell hypothesis and demonstrates the crucial role that insects and pathogens have both in structuring tropical plant communities and in maintaining their remarkable diversity."
531	He2011.pdf	"He, F. & Hubbell, S.P. 2011. Species–area relationships always overestimate extinction rates from habitat loss. Nature 473:368–371"	4	"Extinction from habitat loss is the signature conservation problem of the twenty-first century. Despite its importance, estimating extinction rates is still highly uncertain because no proven direct methods or reliable data exist for verifying extinctions. The most widely used indirect method is to estimate extinction rates by reversing the species-area accumulation curve, extrapolating backwards to smaller areas to calculate expected species loss. Estimates of extinction rates based on this method are almost always much higher than those actually observed. This discrepancy gave rise to the concept of an 'extinction debt', referring to species 'committed to extinction' owing to habitat loss and reduced population size but not yet extinct during a non-equilibrium period. Here we show that the extinction debt as currently defined is largely a sampling artefact due to an unrecognized difference between the underlying sampling problems when constructing a species-area relationship (SAR) and when extrapolating species extinction from habitat loss. The key mathematical result is that the area required to remove the last individual of a species (extinction) is larger, almost always much larger, than the sample area needed to encounter the first individual of a species, irrespective of species distribution and spatial scale. We illustrate these results with data from a global network of large, mapped forest plots and ranges of passerine bird species in the continental USA; and we show that overestimation can be greater than 160%. Although we conclude that extinctions caused by habitat loss require greater loss of habitat than previously thought, our results must not lead to complacency about extinction due to habitat loss, which is a real and growing threat."
532	Paine1981.PDF	"Paine, R.T. & Levin, S.A. 1981. Intertidal Landscapes: Disturbance and the Dynamics of Pattern. Ecological Monographs 51:145-178"	34	"The mussel Mytilus californianus is a competitive dominant on wave-swept rocky intertidal shores. Mussel beds may exist as extensive monocultures; more often they are an ever- changing mosaic of many species which inhabit wave-generated patches or gaps. This paper describes observations and experiments designed to measure the critical parameters of a model of patch birth and death, and to use the model to predict the spatial structure of mussel beds. Most measurements were made at Tatoosh Island, Washington, USA, from 1970-1979. Patch size ranged at birth from a single mussel to 38 M2; the distribution of patch sizes approxi- mates the lognormal. Birth rates varied seasonally and regionally. At Tatoosh the rate of patch formation varied during six winters from 0.4-5.4% of the mussels removed per month. The disturbance regime during the summer and at two mainland sites was 5-10 times less. Annual disturbance patterns tended to be synchronous within 11 sites on one face of Tatoosh over a 10-yr interval, and over larger distances (16 km) along the coastline. The pattern was asynchronous, however, among four Tatoosh localities. Patch birth rate, and mean and maximum size at birth can be used as adequate indices of disturbance. Patch disappearance (death) occurs by three mechanisms. Very small patches disappear almost immediately due to a leaning response of the border mussels (0.2 cm/d). Intermediate-sized patches (<3.0 M2) are eventually obliterated by lateral movement of the peripheral mussels: estimates based on 94 experimental patches yield a mean shrinking rate of 0.05 cm/d from each of two principal dimensions. Depth of the adjacent mussel bed accounts for much of the local variation in closing rate. In very large patches, mussels must recruit as larvae from the plankton. Recovery begins at an average patch age of 26 mo; rate of space occupation, primarily due to individual growth, is 2.0- 2.5%/mo. Winter birth rates suggest a mean turnover time (rotation period) for mussel beds varying from 8.1-34.7 yr, depending on the location. The minimal value is in close agreement with both observed and calculated minimal recovery times. Projections of total patch area, based on the model, are accurate to within 5% of that observed. Using a method for determining the age of patches, based on a growth curve of the barnacle Balanus cariosus, the model permits predictions of the age-size structure of the patch population. The model predicts with excellent resolution the distribution of patch area in relation to time since last distur- bance. The most detailed models which include size structure within age categories are inconclusive due to small sample size. Predictions are good for large patches, the major determinants of environ- mental patterns, but cannot deal adequately with smaller patches because of stochastic effects. Colonization data are given in relation to patch age, size and intertidal position. We suggest that the reproductive season of certain long-lived, patch-dependent species is moulded by the disturbance regime. The necessary and vital connection between disturbance which generates spatial pattern and species richness in communities open to invasion is discussed."
533	Hill1973.pdf	"Hill, M. 1973. Diversity and evenness: a unigying notation and its consequences. Ecology 54:427-432"	6	"Three commonly used measures of diversity, Simpson's index, Shannon's entropy, and the total number of species, are related to Renyi's definition of a generalized entropy. A unified concept of diversity is presented, according to which there is a continuum of possible diversity measures. In a sense which becomes apparent, these measures provide estimates of the effective number of species present, and differ only in their tendency to include or to ignore the relatively rarer species. The notion of the diversity of a community as opposed to that of a sample is examined, and is related to the asymptotic form of the species—abundance curve. A new and plausible definition of evenness is derived."
534	Werner1974.pdf	"Werner, E.E. & Hall D.J. 1974. Optimal foraging and size selection of prey by bluegill sunfish (Lepomis macrochirus). Ecology 55:1042-1052"	11	"The bluegill sunfish, Lepomis macrochirus, is known to select prey on the basis of size. We present evidence that this size selection is related to the optimal allocation of time spent searching for, and handling prey. A model relating search and handling time to energy return is constructed to determine the optimal breadth of diet. Prey are permitted to differ in size and relative abundance. All elements of the model are estimated from experiments with the bluegill feeding on populations constructed from size classes of Daphnia magna. Relative visibility of the different prey sizes markedly affects relative encounter rates or ""effective"" proportions. Effective proportions are determined empirically from feeding experiments and theoretically from reaction distance in order to correct for this bias. Search time is then manipulated by varying absolute abundance of prey. At low absolute abundance, prey of different size are eaten as encountered. As prey abundance is increased, size classes are dropped sequentially from the diet in accordance with the theory. Search and handling times are estimated from these experiments and quantitative comparisons with the model indicate these changes in diet maximize return with respect to time spent foraging. See full-text article at JSTOR"
535	Krebs1995.pdf	"Krebs, C.J. et al. 1995. Impact of Food and Predation on the Snowshoe Hare Cycle. Science 269:1112-1115"	4	"Snowshoe hare populations in the boreal forests of North America go through 10-year cycles. Supplemental food and mammalian predator abundance were manipulated in a factorial design on 1-square-kilometer areas for 8 years in the Yukon. Two blocks of forest were fertilized to test for nutrient effects. Predator exclosure doubled and food addition tripled hare density during the cyclic peak and decline. Predator exclosure combined with food addition increased density 11-fold. Added nutrients increased plant growth but not hare density. Food and predation together had a more than additive effect, which suggests that a three-trophic-level interaction generates hare cycles."
536	Lima1998.pdf	"Lima, S.L. 1998. Nonlethal Effects in the Ecology of Predator-Prey Interactions: What are the ecological effects of anti-predator decision-making? BioScience  48:25-34"	10	No Abstract
537	Lebreton1992.pdf	"Lebreton, J-D. 1992. Modeling Survival and Testing Biological Hypotheses Using Marked Animals - A Unified Approach with Case Studies. Ecological Monographs 62:67-118"	52	" The understanding of the dynamics of animal populations and of related ecological and evolutionary issues frequently depends on a direct analysis of life history parameters. For instance, examination of trade-offs between reproduction and survival usually rely on individually marked animals, for which the exact time of death is most often unknown, because marked individuals cannot be followed closely through time. Thus, the quantitative analysis of survival studies and experiments must be based on capture- recapture (or resighting) models which consider, besides the parameters of primary interest, recapture or resighting rates that are nuisance parameters. Capture-recapture models oriented to estimation of survival rates are the result of a recent change in emphasis from earlier approaches in which population size was the most important parameter, survival rates having been first introduced as nuisance parameters. This emphasis on survival rates in capture-recapture models developed rapidly in the 1980s and used as a basic structure the Cormack-Jolly-Seber survival model applied to an homogeneous group of animals, with various kinds of constraints on the model parameters. These approaches are conditional on first captures; hence they do not attempt to model the initial capture of unmarked animals as functions of population abundance in addition to survival and capture probabilities. This paper synthesizes, using a common framework, these recent developments together with new ones, with an emphasis on flexibility in modeling, model selection, and the analysis of multiple data sets. The effects on survival and capture rates of time, age, and categorical variables characterizing the individuals (e.g., sex) can be considered, as well as interactions between such effects. This ""analysis of variance"" philosophy emphasizes the structure of the survival and capture process rather than the technical characteristics of any particular model. The flexible array of models encompassed in this synthesis uses a common notation. As a result of the great level of flexibility and relevance achieved, the focus is changed from fitting a particular model to model building and model selection. The following procedure is recommended: (1) start from a global model compatible with the biology of the species studied and with the design of the study, and assess its fit; (2) select a more parsimonious model using Akaike's Information Criterion to limit the number of formal tests; (3) test for the most important biological questions by comparing this model with neighboring ones using likelihood ratio tests; and (4) obtain maximum likelihood estimates of model parameters with estimates of precision. Computer software is critical, as few of the models now available have parameter estimators that are in closed form. A comprehensive table of existing computer software is provided. We used RELEASE for data summary and goodness-of-fit tests and SURGE for iterative model fitting and the computation of likelihood ratio tests. Five increasingly complex examples are given to illustrate the theory. The first, using two data sets on the European Dipper (Cinclus cinclus), tests for sex-specific parameters, explores a model with time-dependent survival rates, and finally uses a priori information to model survival allowing for an environmental variable. The second uses data on two colonies of the Swift (Apus apus), and shows how interaction terms can be modeled and assessed and how survival and recapture rates sometimes partly counterbalance each other. The third shows complex variation in survival rates across sexes and age classes in the roe deer (Capreolus capreolus), with a test of density dependence in annual survival rates. The fourth is an example of experimental density manipulation using the common lizard (La- certa vivipara). The last example attempts to examine a large and complex data set on the Greater Flamingo (Phoenicopterus ruber), where parameters are age specific, survival is a function of an environmental variable, and an age x year interaction term is important. Heterogeneity seems present in this example and cannot be adequately modeled with existing theory. The discussion presents a summary of the paradigm we recommend and details issues in model selection and design, and foreseeable future developments."
538	Schmitz1997.pdf	"Schmitz, O.J. et al. 1997. Behaviorally mediated trophic cascades : effects of predation risk on food web. Ecology 78:1388–1399"	12	"Trophic cascades are regarded as important signals for top-down control of food web dynamics. Although there is clear evidence supporting the existence of trophic cascades, the mechanisms driving this important dynamic are less clear. Trophic cascades could arise through direct population-level effects, in which predators prey on herbivores, thereby decreasing the abundance of herbivores that impact plant trophic levels. Trophic cascades could also arise through indirect behavioral-level effects, in which herbivore prey shift their foraging behavior in response to predation risk. Such behavioral shifts can result in reduced feeding time and increased starvation risk, again lowering the impact of herbivores on plants. We evaluated the relative importance of these two mechanisms, using field experiments in an old-field system composed of herbaceous plants, grasshopper herbivores, and spider predators. We created two treatments, Risk spiders that had their chelicerae glued, and Predation spiders that remained unmanipulated. We then systematically evaluated the impacts of these predator manipulations at behavioral, population, and food web scales in experimental mesocosms. At the behavioral level, grasshoppers did not distinguish between Risk spiders and Predation spiders. Grasshoppers exhibited significant shifts in feeding-time budget in the presence of spiders vs. when alone. At the grasshopper population level, Risk spider and Predation spider treatments caused the same level of grasshopper mortality, which was significantly higher than mortality in a control without spiders, indicating that the predation effects were compensatory to risk effects. At the food web level, Risk spider and Predation spider treatments decreased the impact grasshoppers had on grass biomass, supporting the existence of a trophic cascade. Moreover, Risk spider and Predation spider treatments produced statistically similar effects, again indicating that predation effects on trophic dynamics were compensatory to risk effects. We conclude that indirect effects resulting from antipredator behavior can produce trophic-level effects that are similar in form and strength to those generated by direct predation events."
539	Barnosky2012.pdf	"Barnosky, A.D. et al. 2012. Approaching a state shift in Earth's biosphere. Nature 486:52-58"	7	"Localized ecological systems are known to shift abruptly and irreversibly from one state to another when they are forced across critical thresholds. Here we review evidence that the global ecosystem as a whole can react in the same way and is approaching a planetary-scale critical transition as a result of human influence. The plausibility of a planetary-scale 'tipping point' highlights the need to improve biological forecasting by detecting early warning signs of critical transitions on global as well as local scales, and by detecting feedbacks that promote such transitions. It is also necessary to address root causes of how humans are forcing biological changes."
540	Laurance2002.pdf	"Laurance, W.F. et al. 2002. Ecosystem decay of amazonian forest fragments : a 22 year investigation. Conservation biology 16:605-618"	14	"We synthesized key findings from the Biological Dynamics of Forest Fragments Project, the world's largest and longest-running experimental study of habitat fragmentation. Although initially designed to assess the influence of fragment area on Amazonian biotas, the project has yielded insights that go far beyond the original scope of the study. Results suggest that edge effects play a key role in fragment dynamics, that the matrix has a major influence on fragment connectivity and functioning, and that many Amazonian species avoid even small (<100-m-wide) clearings. The effects of fragmentation are highly eclectic, altering species richness and abundances, species invasions, forest dynamics, the trophic structure of communities, and a variety of ecological and ecosystem processes. Moreover, forest fragmentation appears to interact synergistically with ecological changes such as hunting, fires, and logging, collectively posing an even greater threat to the rainforest biota."
541	Mace2014.pdf	"Mace, G.M. 2014. Whose conversation? Science 345:1558-1560"	3	"Conservation biology is a missiondriven discipline and is therefore subject to both drift and the periodic adoption of fads and fashions. Although many basic conservation principles, conservation organizations, and initiatives of global reach and impact have persisted almost unchanged for decades, the framing and purpose of conservation have shifted. These shifts mainly relate to how the relationships between people and nature are viewed, with consequences for the science underpinning conservation."
542	Pickett2002.pdf	"Pickett, S.T.A. & Cadenasso, M.L. 2002. The ecosystem as a multidimensional concept : meaning, model and metaphor. Ecosystems 5:1-10"	10	"The ecosystem is a fundamental ecological concept that is not as simple as it first appears. We explore three key dimensions of the concept that make it both complex and broadly useful—its basic defini- tion, its application via models to concrete or spe- cific situations, and its metaphorical connotations as used in general communication within the do- main of science and with the public at large. Clarity in identifying what the dimensions are and how they are related can help to maintain the rigor of the concept for specific scientific uses while also allowing enough flexibility for its use in the inte- gration of scientific principles, as well as in public discourse. This analysis of the ecosystem as a mul- tidimensional concept is likely to be generalizable to other important concepts in ecology"
543	Schoener1976.pdf	"Schoener, T.W. 1976. Alternatives to Lotka-Volterra competition: models of intermediate complexity. Theoretical Population Biology 10:309-333"	25	"A family of one-level differential-equation competition models in which two populations are limited by the energy flowing into the system generates the following results. For competitors on the same and only resource: 1) Purely exploitative competition leads to exclusion; which species wins depends on relative abilities to appropriate and extract energy from the resource, and the relative death and maintenance rates. 2) If conspecific interference (e.g., deaths or energy loss from fighting, cannibalism, or display) is sufficiently high relative to abilities to exploit the common resource, competition for the same resource can lead to coexistence. 3) If heterospecific interference is sufficiently high relative to abilities to exploit the common resource, competition for the same resource can lead to a priority effect, in which the outcome depends on initial population sizes. 4) Depending on whether situation (2) or (3) prevails, an increase in the amount of the common resource can convert an outcome in which one species always wins into one giving coexistence (2) or a priority effect (3). 5) If species are similar to one another in their abilities to appropriate and extract energy from the common resource and show reciprocity in intererence costs, competition can have multiple outcomes; either one species wins or the species coexist, depending on initial values. For competition on the same resource, but with each species monopolizing an exclusive resource as well: 1) Purely exploitative competition always leads to a unique point coexistence. 2) If interference is added to the system described in (1), two points of coexistence, separated by a saddle (an “unstable equilibrium”) are possible. This is favored by a) a small yield from the exclusive resources relative to the common one; and b) strong interspecific relative to intraspecific interference."
544	Southwood1961.pdf	"Southwood, T.R.E. 1961. The number of insect species associated with various trees. Journal of Animal Ecology 30:1–8"	8	"1. The hypothesis is suggested that the number of insect species associated with a tree is a reflection of the cumulative abundance of that tree in the particular country throughout recent geological history (e.g. in the Quaternary period). This means that the dominant native trees will have most insect species, and recently introduced ones fewest. 2. General comparisons between the insect fauna of certain trees in Britain, Sweden, Russia and Cyprus support the hypothesis. 3. A more detailed test is made for Britain, where it is shown that the number of species of the major plant feeding orders of insects (Lepidoptera, Coleoptera and most groups of Hemiptera) associated with British trees is closely correlated with the number of records of their Quaternary remains recorded by Godwin (1956). 4. Using such data it is possible to eliminate the effect the history (cumulative abundance) of the tree on the number of insect species, when it is seen that some trees are evidently especially resistant or unsusceptible to insect colonization, and others probably the reverse."
545	Tilman1996a.pdf	"Tilman, D. 1996. Biodiversity: Population versus ecosystem stability. Ecology 77:350-363"	14	"The relationships between biodiversity and stability were determined for both population and ecosystem traits in a long-term study of 207 grassland plots. Results demonstrate that biodiversity stabilizes community and ecosystem processes, but not population processes. Specifically, year-to-year variability in total aboveground plant community biomass was significantly lower in plots with greater plant species richness both for the entire 11-yr period and for the nine non-drought years. The change in total plant community biomass from before the drought to the peak of the drought was also highly dependent on species richness. For all three measures of total community biomass stability, multiple regressions that controlled for covariates showed similar significant relationships between plant diversity and stability. In contrast, year-to-year variability in species abundances was not stabilized by plant species richness for either all years or non-drought years. This difference between species vs. community biomass likely results from interspecific competition. When climatic variations harm some species, unharmed competitors increase. Such compensatory increases stabilize total community biomass, but cause species abundances to be more variable. These results support both the predictions of Robert May concerning the effects of diversity on population stability and the diversity-stability hypothesis as applied to community and ecosystem processes, thus helping to reconcile a long-standing dispute."
